Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,Prevalence (Prop. (W)) per 100 000
40,All cancers excl. non-melanoma skin cancer,450,Madagascar,MDG,0,2,59.09
40,All cancers excl. non-melanoma skin cancer,454,Malawi,MWI,0,2,77.11
40,All cancers excl. non-melanoma skin cancer,458,Malaysia,MYS,0,2,105.95
40,All cancers excl. non-melanoma skin cancer,462,Maldives,MDV,0,2,77.55
40,All cancers excl. non-melanoma skin cancer,466,Mali,MLI,0,2,61.46
40,All cancers excl. non-melanoma skin cancer,470,Malta,MLT,0,2,227.55
40,All cancers excl. non-melanoma skin cancer,474,"France, Martinique",MTQ,0,2,179.29
40,All cancers excl. non-melanoma skin cancer,478,Mauritania,MRT,0,2,56.62
40,All cancers excl. non-melanoma skin cancer,480,Mauritius,MUS,0,2,102.98
40,All cancers excl. non-melanoma skin cancer,484,Mexico,MEX,0,2,97.85
40,All cancers excl. non-melanoma skin cancer,496,Mongolia,MNG,0,2,138.28
40,All cancers excl. non-melanoma skin cancer,498,Republic of Moldova,MDA,0,2,146.88
40,All cancers excl. non-melanoma skin cancer,499,Montenegro,MNE,0,2,169.33
40,All cancers excl. non-melanoma skin cancer,504,Morocco,MAR,0,2,94.87
40,All cancers excl. non-melanoma skin cancer,508,Mozambique,MOZ,0,2,58.28
40,All cancers excl. non-melanoma skin cancer,512,Oman,OMN,0,2,76.94
40,All cancers excl. non-melanoma skin cancer,516,Namibia,NAM,0,2,111.17
40,All cancers excl. non-melanoma skin cancer,524,Nepal,NPL,0,2,44.85
40,All cancers excl. non-melanoma skin cancer,528,The Netherlands,NLD,0,2,270.37
40,All cancers excl. non-melanoma skin cancer,540,New Caledonia,NCL,0,2,228.31
40,All cancers excl. non-melanoma skin cancer,548,Vanuatu,VUT,0,2,77.79
40,All cancers excl. non-melanoma skin cancer,554,New Zealand,NZL,0,2,255.56
40,All cancers excl. non-melanoma skin cancer,558,Nicaragua,NIC,0,2,79.48
40,All cancers excl. non-melanoma skin cancer,562,Niger,NER,0,2,33.52
40,All cancers excl. non-melanoma skin cancer,566,Nigeria,NGA,0,2,57.3
40,All cancers excl. non-melanoma skin cancer,578,Norway,NOR,0,2,303.88
40,All cancers excl. non-melanoma skin cancer,586,Pakistan,PAK,0,2,54.98
40,All cancers excl. non-melanoma skin cancer,591,Panama,PAN,0,2,113.74
40,All cancers excl. non-melanoma skin cancer,598,Papua New Guinea,PNG,0,2,93.98
40,All cancers excl. non-melanoma skin cancer,600,Paraguay,PRY,0,2,125.58
40,All cancers excl. non-melanoma skin cancer,604,Peru,PER,0,2,115.94
40,All cancers excl. non-melanoma skin cancer,608,Philippines,PHL,0,2,119.12
40,All cancers excl. non-melanoma skin cancer,616,Poland,POL,0,2,203.51
40,All cancers excl. non-melanoma skin cancer,620,Portugal,PRT,0,2,227.57
40,All cancers excl. non-melanoma skin cancer,624,Guinea-Bissau,GNB,0,2,42.15
40,All cancers excl. non-melanoma skin cancer,626,Timor-Leste,TLS,0,2,53.58
40,All cancers excl. non-melanoma skin cancer,630,Puerto Rico,PRI,0,2,177.86
40,All cancers excl. non-melanoma skin cancer,634,Qatar,QAT,0,2,65.04
40,All cancers excl. non-melanoma skin cancer,638,"France, La Réunion",REU,0,2,153.97
40,All cancers excl. non-melanoma skin cancer,642,Romania,ROU,0,2,202.59
40,All cancers excl. non-melanoma skin cancer,643,Russian Federation,RUS,0,2,182.01
40,All cancers excl. non-melanoma skin cancer,646,Rwanda,RWA,0,2,43.58
40,All cancers excl. non-melanoma skin cancer,662,Saint Lucia,LCA,0,2,124.8
40,All cancers excl. non-melanoma skin cancer,678,Sao Tome and Principe,STP,0,2,82.44
40,All cancers excl. non-melanoma skin cancer,682,Saudi Arabia,SAU,0,2,66.85
40,All cancers excl. non-melanoma skin cancer,686,Senegal,SEN,0,2,56.76
40,All cancers excl. non-melanoma skin cancer,688,Serbia,SRB,0,2,177.64
40,All cancers excl. non-melanoma skin cancer,694,Sierra Leone,SLE,0,2,43.39
40,All cancers excl. non-melanoma skin cancer,702,Singapore,SGP,0,2,188.11
40,All cancers excl. non-melanoma skin cancer,703,Slovakia,SVK,0,2,215.71
40,All cancers excl. non-melanoma skin cancer,704,Viet Nam,VNM,0,2,94.6
40,All cancers excl. non-melanoma skin cancer,705,Slovenia,SVN,0,2,247.28
40,All cancers excl. non-melanoma skin cancer,706,Somalia,SOM,0,2,37.79
40,All cancers excl. non-melanoma skin cancer,710,South Africa,ZAF,0,2,119.08
40,All cancers excl. non-melanoma skin cancer,716,Zimbabwe,ZWE,0,2,110.92
40,All cancers excl. non-melanoma skin cancer,724,Spain,ESP,0,2,220.29
40,All cancers excl. non-melanoma skin cancer,728,South Sudan,SSD,0,2,42.12
40,All cancers excl. non-melanoma skin cancer,729,Sudan,SDN,0,2,46.18
40,All cancers excl. non-melanoma skin cancer,740,Suriname,SUR,0,2,118.51
40,All cancers excl. non-melanoma skin cancer,748,Eswatini,SWZ,0,2,85.03
40,All cancers excl. non-melanoma skin cancer,752,Sweden,SWE,0,2,257.41
40,All cancers excl. non-melanoma skin cancer,756,Switzerland,CHE,0,2,222.76
40,All cancers excl. non-melanoma skin cancer,760,Syrian Arab Republic,SYR,0,2,73.09
40,All cancers excl. non-melanoma skin cancer,762,Tajikistan,TJK,0,2,54.51
40,All cancers excl. non-melanoma skin cancer,764,Thailand,THA,0,2,104
40,All cancers excl. non-melanoma skin cancer,768,Togo,TGO,0,2,52.36
40,All cancers excl. non-melanoma skin cancer,780,Trinidad and Tobago,TTO,0,2,138.79
40,All cancers excl. non-melanoma skin cancer,784,United Arab Emirates,ARE,0,2,83.23
40,All cancers excl. non-melanoma skin cancer,788,Tunisia,TUN,0,2,88.37
40,All cancers excl. non-melanoma skin cancer,792,Türkiye,TUR,0,2,158.91
40,All cancers excl. non-melanoma skin cancer,795,Turkmenistan,TKM,0,2,76.22
40,All cancers excl. non-melanoma skin cancer,800,Uganda,UGA,0,2,81.58
40,All cancers excl. non-melanoma skin cancer,804,Ukraine,UKR,0,2,139.81
40,All cancers excl. non-melanoma skin cancer,807,North Macedonia,MKD,0,2,140.28
40,All cancers excl. non-melanoma skin cancer,818,Egypt,EGY,0,2,104.77
40,All cancers excl. non-melanoma skin cancer,826,United Kingdom,GBR,0,2,246.85
40,All cancers excl. non-melanoma skin cancer,834,"Tanzania, United Republic of",TZA,0,2,70.89
40,All cancers excl. non-melanoma skin cancer,840,United States of America,USA,0,2,259.12
40,All cancers excl. non-melanoma skin cancer,854,Burkina Faso,BFA,0,2,58.95
40,All cancers excl. non-melanoma skin cancer,858,Uruguay,URY,0,2,194.28
40,All cancers excl. non-melanoma skin cancer,860,Uzbekistan,UZB,0,2,73.44
40,All cancers excl. non-melanoma skin cancer,862,Venezuela,VEN,0,2,113.3
40,All cancers excl. non-melanoma skin cancer,882,Samoa,WSM,0,2,174.99
40,All cancers excl. non-melanoma skin cancer,887,Yemen,YEM,0,2,39.73
40,All cancers excl. non-melanoma skin cancer,894,Zambia,ZMB,0,2,83.92
