Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,Prevalence (Prop. (W)) per 100 000
15,"Trachea, bronchus and lung",702,Singapore,SGP,0,2,12.52
15,"Trachea, bronchus and lung",703,Slovakia,SVK,0,2,11.88
15,"Trachea, bronchus and lung",704,Viet Nam,VNM,0,2,11.03
15,"Trachea, bronchus and lung",705,Slovenia,SVN,0,2,18.31
15,"Trachea, bronchus and lung",706,Somalia,SOM,0,2,1.88
15,"Trachea, bronchus and lung",710,South Africa,ZAF,0,2,9.58
15,"Trachea, bronchus and lung",716,Zimbabwe,ZWE,0,2,3.06
15,"Trachea, bronchus and lung",724,Spain,ESP,0,2,14.84
15,"Trachea, bronchus and lung",728,South Sudan,SSD,0,2,1.12
15,"Trachea, bronchus and lung",729,Sudan,SDN,0,2,1.33
15,"Trachea, bronchus and lung",740,Suriname,SUR,0,2,8.8
15,"Trachea, bronchus and lung",748,Eswatini,SWZ,0,2,2.75
15,"Trachea, bronchus and lung",752,Sweden,SWE,0,2,9.35
15,"Trachea, bronchus and lung",756,Switzerland,CHE,0,2,12.81
15,"Trachea, bronchus and lung",760,Syrian Arab Republic,SYR,0,2,9.44
15,"Trachea, bronchus and lung",762,Tajikistan,TJK,0,2,2.92
15,"Trachea, bronchus and lung",764,Thailand,THA,0,2,9.72
15,"Trachea, bronchus and lung",768,Togo,TGO,0,2,1.01
15,"Trachea, bronchus and lung",780,Trinidad and Tobago,TTO,0,2,6.2
15,"Trachea, bronchus and lung",784,United Arab Emirates,ARE,0,2,3.16
15,"Trachea, bronchus and lung",788,Tunisia,TUN,0,2,10.76
15,"Trachea, bronchus and lung",792,Türkiye,TUR,0,2,20.09
15,"Trachea, bronchus and lung",795,Turkmenistan,TKM,0,2,5.15
15,"Trachea, bronchus and lung",800,Uganda,UGA,0,2,1.63
15,"Trachea, bronchus and lung",804,Ukraine,UKR,0,2,11.11
15,"Trachea, bronchus and lung",807,North Macedonia,MKD,0,2,16.77
15,"Trachea, bronchus and lung",818,Egypt,EGY,0,2,4.65
15,"Trachea, bronchus and lung",826,United Kingdom,GBR,0,2,15.82
15,"Trachea, bronchus and lung",834,"Tanzania, United Republic of",TZA,0,2,1.39
15,"Trachea, bronchus and lung",840,United States of America,USA,0,2,17.05
15,"Trachea, bronchus and lung",854,Burkina Faso,BFA,0,2,2.03
15,"Trachea, bronchus and lung",858,Uruguay,URY,0,2,16
15,"Trachea, bronchus and lung",860,Uzbekistan,UZB,0,2,4.56
15,"Trachea, bronchus and lung",862,Venezuela,VEN,0,2,8.41
15,"Trachea, bronchus and lung",882,Samoa,WSM,0,2,18.22
15,"Trachea, bronchus and lung",887,Yemen,YEM,0,2,2.38
15,"Trachea, bronchus and lung",894,Zambia,ZMB,0,2,1.52
